CustomerID,Month,MonthlyRevenue,Segment
12346.0,2011-01,77183.6,High Value
12347.0,2010-12,711.79,High Value
12347.0,2011-01,475.39,High Value
12347.0,2011-04,636.25,High Value
12347.0,2011-06,382.52,High Value
12347.0,2011-08,584.91,High Value
12347.0,2011-10,1294.3200000000002,High Value
12347.0,2011-12,224.82000000000002,High Value
12348.0,2010-12,892.8000000000001,Other
12348.0,2011-01,227.43999999999997,Other
12348.0,2011-04,367.0,Other
12348.0,2011-09,310.0,Other
12349.0,2011-11,1757.55,Other
12350.0,2011-02,334.40000000000003,Other
12352.0,2011-02,296.49999999999994,Frequent Low Spender
12352.0,2011-03,1265.3100000000002,Frequent Low Spender
12352.0,2011-09,632.5,Frequent Low Spender
12352.0,2011-11,311.73,Frequent Low Spender
12353.0,2011-05,89.0,Other
12354.0,2011-04,1079.4,Other
12355.0,2011-05,459.4,Other
12356.0,2011-01,2271.6200000000003,Other
12356.0,2011-04,481.46,Other
12356.0,2011-11,58.349999999999994,Other
12357.0,2011-11,6207.669999999996,High Value
12358.0,2011-07,484.85999999999996,Other
12358.0,2011-12,683.2,Other
12359.0,2011-01,547.5,High Value
12359.0,2011-02,1838.9100000000005,High Value
12359.0,2011-06,1109.3199999999997,High Value
12359.0,2011-10,2876.85,High Value
12360.0,2011-05,1083.58,Other
12360.0,2011-08,534.7000000000002,Other
12360.0,2011-10,1043.7799999999997,Other
12361.0,2011-02,189.89999999999998,Other
12362.0,2011-02,479.1,High Value
12362.0,2011-04,495.2400000000001,High Value
12362.0,2011-07,303.76000000000005,High Value
12362.0,2011-08,469.2499999999999,High Value
12362.0,2011-09,829.9900000000001,High Value
12362.0,2011-10,1641.9099999999996,High Value
12362.0,2011-11,477.94000000000005,High Value
12362.0,2011-12,529.04,High Value
12363.0,2011-04,299.1,Other
12363.0,2011-08,252.90000000000003,Other
12364.0,2011-08,623.92,Other
12364.0,2011-09,79.8,Other
12364.0,2011-10,299.05999999999995,Other
12364.0,2011-12,310.31999999999994,Other
12365.0,2011-02,641.38,Other
12367.0,2011-12,168.9,Other
12370.0,2010-12,1868.02,Other
12370.0,2011-03,938.3900000000002,Other
